                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.26317,                0.44489,                 1.0016,                0.85429,                0.61603,                0.65806,                 0.5113,                0.87574,                 1.0092,                 0.9097,             0.00051177,             0.00051177,             0.00051177
                     72,                0.25537,                0.43014,                0.99383,                0.72018,                0.67297,                0.67274,                0.52925,                0.82342,                 1.0081,                0.85557,             0.00049527,             0.00049527,             0.00049527
                     73,                0.25176,                0.42896,                0.99535,                0.73251,                0.67279,                0.69049,                0.52757,                0.86924,                0.98172,                0.88042,             0.00047876,             0.00047876,             0.00047876
                     74,                0.25618,                0.42134,                0.98984,                0.85113,                0.67315,                0.68786,                0.52838,                0.80087,                 1.1396,                0.82683,             0.00046226,             0.00046226,             0.00046226
                     75,                0.25026,                0.40776,                0.98233,                0.77699,                0.67454,                0.69906,                0.52443,                 0.8649,                 1.0488,                0.90304,             0.00044576,             0.00044576,             0.00044576
                     76,                0.24863,                0.43048,                 0.9849,                0.77489,                0.66618,                0.68451,                0.52261,                0.90348,                 0.9792,                0.91595,             0.00042925,             0.00042925,             0.00042925
                     77,                0.26222,                0.42396,                0.99092,                0.68485,                0.69037,                0.66015,                0.52432,                 0.8563,                 1.1171,                0.88215,             0.00041275,             0.00041275,             0.00041275
                     78,                0.25027,                0.41434,                0.99045,                0.75373,                0.68099,                0.70578,                0.52737,                0.86703,                0.97863,                0.88271,             0.00039625,             0.00039625,             0.00039625
                     79,                0.23776,                0.41176,                 0.9854,                0.75855,                0.69315,                 0.6901,                0.50719,                0.93689,                 1.0441,                0.94263,             0.00037974,             0.00037974,             0.00037974
                     80,                0.23916,                0.39584,                0.98407,                0.75929,                0.68269,                0.68567,                0.50921,                 0.8859,                 1.0566,                0.90773,             0.00036324,             0.00036324,             0.00036324
                     81,                0.24353,                0.40054,                0.99068,                0.74801,                0.64983,                0.63983,                0.49998,                0.89978,                 1.0234,                0.91425,             0.00034674,             0.00034674,             0.00034674
                     82,                0.25025,                0.39793,                0.98371,                0.64732,                0.72954,                0.67443,                0.51468,                0.84728,                0.98521,                0.89244,             0.00033023,             0.00033023,             0.00033023
                     83,                0.24027,                0.39464,                0.99056,                0.68795,                0.72269,                0.67261,                0.51188,                0.89936,                0.98855,                0.94931,             0.00031373,             0.00031373,             0.00031373
                     84,                0.25423,                0.41069,                0.98562,                0.73143,                0.68269,                0.68943,                 0.5169,                0.92909,                 1.0523,                0.93409,             0.00029723,             0.00029723,             0.00029723
                     85,                0.24045,                0.39278,                0.97822,                0.74107,                 0.6782,                0.68255,                0.52011,                0.88297,                 1.0434,                0.92058,             0.00028072,             0.00028072,             0.00028072
                     86,                 0.2331,                0.38872,                0.97416,                0.73217,                0.66954,                 0.6725,                0.52122,                0.91496,                 1.0612,                0.94135,             0.00026422,             0.00026422,             0.00026422
                     87,                0.22461,                0.38225,                0.97357,                0.70668,                0.71297,                0.67758,                0.52146,                0.89536,                 1.0412,                0.93935,             0.00024772,             0.00024772,             0.00024772
                     88,                0.22705,                0.39372,                0.96793,                0.79688,                0.66594,                0.69928,                0.52777,                 0.9055,                 1.0169,                0.91036,             0.00023121,             0.00023121,             0.00023121
                     89,                0.22559,                0.37021,                0.97018,                  0.759,                0.63241,                0.66407,                0.52312,                0.89293,                 1.0167,                 0.9374,             0.00021471,             0.00021471,             0.00021471
                     90,                 0.2388,                0.36849,                0.98269,                0.71963,                0.73308,                0.69457,                0.53403,                0.88889,                0.97007,                0.93479,             0.00019821,             0.00019821,             0.00019821
                     91,                 0.3607,                0.39697,                 1.0583,                0.78505,                0.69639,                0.68965,                0.52298,                0.93108,                 1.0003,                0.99396,              0.0001817,              0.0001817,              0.0001817
                     92,                0.35349,                0.31137,                   1.06,                0.71566,                0.71982,                0.71319,                0.52436,                0.91614,                0.99553,                0.97105,              0.0001652,              0.0001652,              0.0001652
                     93,                0.33167,                0.30299,                 1.0381,                0.72146,                0.69982,                0.67731,                 0.5171,                0.93168,                 1.0415,                0.98841,              0.0001487,              0.0001487,              0.0001487
                     94,                0.33574,                0.30553,                 1.0291,                0.73446,                0.69982,                0.69163,                0.51952,                0.92089,                 0.9924,                0.97266,             0.00013219,             0.00013219,             0.00013219
                     95,                0.33114,                0.28335,                 1.0366,                0.72996,                0.68727,                0.69095,                0.52492,                 0.9117,                   1.01,                0.96418,             0.00011569,             0.00011569,             0.00011569
                     96,                0.33477,                0.29208,                 1.0335,                0.73662,                0.71315,                0.69227,                0.52452,                0.92318,                 1.0258,                   0.99,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.32985,                0.29435,                 1.0297,                0.75901,                0.69197,                0.68681,                0.52384,                0.93575,                 1.0518,                0.99703,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                 0.3191,                0.27666,                 1.0264,                0.76267,                0.70513,                0.70682,                0.52355,                0.91301,                 1.0574,                0.97593,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.31846,                0.28226,                 1.0166,                0.78277,                0.70157,                0.70832,                0.52432,                0.91146,                 1.0405,                0.98008,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.31392,                0.27792,                 1.0318,                0.77543,                  0.684,                0.69156,                0.51991,                0.90334,                 1.0395,                0.96528,             3.3173e-05,             3.3173e-05,             3.3173e-05
